rank,Youtuber,subscribers,video views,category,uploads,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,created_on
1,T-Series,245000000,228000000000,Music,20082,India,IN,564600.0,9000000.0,6800000.0,108400000.0,28.1,1366417754.0,5.36,471031528.0,2006-03-13
3,MrBeast,166000000,28368841870,Entertainment,741,United States,US,337000.0,5400000.0,4000000.0,64700000.0,88.2,328239523.0,14.7,270663028.0,2012-02-20
4,Cocomelon - Nursery Rhymes,162000000,164000000000,Education,966,United States,US,493800.0,7900000.0,5900000.0,94800000.0,88.2,328239523.0,14.7,270663028.0,2006-09-01
5,SET India,159000000,148000000000,Shows,116536,India,IN,455900.0,7300000.0,5500000.0,87500000.0,28.1,1366417754.0,5.36,471031528.0,2006-09-20
7,Kids Diana Show,112000000,93247040539,People & Blogs,1111,United States,US,182900.0,2900000.0,2200000.0,35100000.0,88.2,328239523.0,14.7,270663028.0,2015-05-12
8,PewDiePie,111000000,29058044447,Gaming,4716,Sweden,SE,9800.0,156700.0,117600.0,1900000.0,63.2,126226568.0,2.29,115782416.0,2010-04-29
9,Like Nastya,106000000,90479060027,People & Blogs,493,Russia,RU,12200.0,195800.0,146800.0,2300000.0,98.6,144373535.0,4.59,107683889.0,2016-01-14
10,Vlad and Niki,98900000,77180169894,Entertainment,574,United States,US,145100.0,2300000.0,1700000.0,27900000.0,88.2,328239523.0,14.7,270663028.0,2018-04-23
11,Zee Music Company,96700000,57856289381,Music,8548,India,IN,200900.0,3200000.0,2400000.0,38600000.0,28.1,1366417754.0,5.36,471031528.0,2014-03-12
12,WWE,96000000,77428473662,Sports,70127,United States,US,178700.0,2900000.0,2100000.0,34300000.0,88.2,328239523.0,14.7,270663028.0,2007-05-11
14,BLACKPINK,89800000,32144597566,People & Blogs,543,South Korea,KR,124700.0,2000000.0,1500000.0,23900000.0,94.3,51709098.0,4.15,42106719.0,2016-06-29
15,Goldmines,86900000,24118230580,Film & Animation,8100,India,IN,0.0,0.07,551006.2411904761,8861635.621666666,28.1,1366417754.0,5.36,471031528.0,2006-08-15
16,Sony SAB,83000000,101000000000,Shows,71270,India,IN,414300.0,6600000.0,5000000.0,79600000.0,28.1,1366417754.0,5.36,471031528.0,2007-08-04
17,5-Minute Crafts,80100000,26236790209,Howto & Style,1560,United Kingdom,GB,0.0,0.0,149840.43243243243,2398883.785135135,60.0,66834405.0,3.85,55908316.0,2020-07-27
18,BANGTANTV,75600000,20826993957,Music,2281,South Korea,KR,42100.0,673200.0,504900.0,8100000.0,94.3,51709098.0,4.15,42106719.0,2012-12-17
20,Justin Bieber,71600000,30608119724,Music,249,Canada,CA,44100.0,705300.0,529000.0,8500000.0,68.9,36991981.0,5.56,30628482.0,2007-01-15
21,HYBE LABELS,71300000,28634566938,Music,1337,South Korea,KR,149500.0,2400000.0,1800000.0,28700000.0,94.3,51709098.0,4.15,42106719.0,2008-06-04
22,Zee TV,70500000,73139054467,Entertainment,129204,India,IN,426800.0,6800000.0,5100000.0,81900000.0,28.1,1366417754.0,5.36,471031528.0,2005-12-11
23,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963,Education,2865,United States,US,118300.0,1900000.0,1400000.0,22700000.0,88.2,328239523.0,14.7,270663028.0,2011-12-14
24,Canal KondZilla,66500000,36775585925,Music,2572,Brazil,BR,0.0,0.0,408155.45147959184,6538956.585153062,51.3,212559417.0,12.08,183241641.0,2012-03-21
25,ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,Education,633,India,IN,105100.0,1700000.0,1300000.0,20200000.0,28.1,1366417754.0,5.36,471031528.0,2013-02-09
26,Shemaroo Filmi Gaane,65600000,28648024439,Music,8502,India,IN,63700.0,1000000.0,764900.0,12200000.0,28.1,1366417754.0,5.36,471031528.0,2010-06-11
27,Colors TV,64600000,61510906457,Shows,112915,India,IN,296900.0,4800000.0,3600000.0,57000000.0,28.1,1366417754.0,5.36,471031528.0,2008-06-13
28,T-Series Bhakti Sagar,61000000,29533230328,Music,2165,India,IN,0.0,0.04,408155.45147959184,6538956.585153062,28.1,1366417754.0,5.36,471031528.0,2018-08-03
29,Dude Perfect,59500000,16241549158,Sports,389,United States,US,35300.0,564800.0,423600.0,6800000.0,88.2,328239523.0,14.7,270663028.0,2009-03-17
30,Movieclips,59500000,59316472754,Film & Animation,39113,United States,US,28700.0,458700.0,344000.0,5500000.0,88.2,328239523.0,14.7,270663028.0,2006-04-28
31,Tips Official,59300000,33431802698,Music,4741,India,IN,105700.0,1700000.0,1300000.0,20300000.0,28.1,1366417754.0,5.36,471031528.0,2007-05-22
32,El Reino Infantil,58400000,57271630846,Music,1510,Argentina,AR,153000.0,2400000.0,1800000.0,29400000.0,99.0,46005799.0,6.81,42696478.0,2011-06-02
33,Wave Music,58000000,40602020243,Music,19487,India,IN,58000.0,928100.0,696100.0,11100000.0,28.1,1366417754.0,5.36,471031528.0,2014-10-29
34,Aaj Tak,57600000,25307753534,News & Politics,283775,India,IN,115300.0,1800000.0,1400000.0,22100000.0,28.1,1366417754.0,5.36,471031528.0,2009-08-27
35,Sony Music India,57200000,28837144516,Music,3882,India,IN,64800.0,1000000.0,777900.0,12400000.0,28.1,1366417754.0,5.36,471031528.0,2009-09-02
36,EminemMusic,56900000,27073872856,Music,156,United States,US,65000.0,1000000.0,780600.0,12500000.0,88.2,328239523.0,14.7,270663028.0,2007-02-09
37,Marshmello,56400000,14696003229,Entertainment,436,United States,US,28000.0,448400.0,336300.0,5400000.0,88.2,328239523.0,14.7,270663028.0,2015-04-06
38,YRF,54600000,35302243691,Film & Animation,3707,India,IN,128000.0,2000000.0,1500000.0,24600000.0,28.1,1366417754.0,5.36,471031528.0,2006-06-07
39,LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239,Music,2165,United States,US,0.04,0.64,408155.45147959184,6538956.585153062,88.2,328239523.0,14.7,270663028.0,2016-11-29
40,Ed Sheeran,53500000,30367676736,Music,383,United Kingdom,GB,50700.0,810900.0,608200.0,9700000.0,60.0,66834405.0,3.85,55908316.0,2006-08-08
41,Infobells - Hindi,53300000,30516172739,Education,577,India,IN,204000.0,3300000.0,2400000.0,39200000.0,28.1,1366417754.0,5.36,471031528.0,2014-06-06
42,Taylor Swift,52900000,29884657286,Music,216,United States,US,132100.0,2100000.0,1600000.0,25400000.0,88.2,328239523.0,14.7,270663028.0,2006-09-20
43,Ariana Grande,52700000,24004842608,Music,147,United States,US,40100.0,640900.0,480600.0,7700000.0,88.2,328239523.0,14.7,270663028.0,2007-01-22
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,Education,847,United States,US,66700.0,1100000.0,800200.0,12800000.0,88.2,328239523.0,14.7,270663028.0,2013-10-25
45,JuegaGerman,48100000,14631710289,Gaming,2052,Chile,CL,16600.0,265600.0,199200.0,3200000.0,88.5,18952038.0,7.09,16610135.0,2013-05-19
46,Billie Eilish,47900000,13626331061,Music,65,United States,US,36700.0,587400.0,440600.0,7000000.0,88.2,328239523.0,14.7,270663028.0,2013-02-06
47,Get Movies,47500000,30788679536,Entertainment,3322,Russia,RU,76600.0,1200000.0,919600.0,14700000.0,98.6,144373535.0,4.59,107683889.0,2006-12-16
48,Shemaroo,47400000,22519705183,Entertainment,11451,India,IN,58200.0,931000.0,698200.0,11200000.0,28.1,1366417754.0,5.36,471031528.0,2007-09-01
49,Badabun,46800000,19398045702,Entertainment,1,Mexico,MX,0.11,2.0,470586.4440707965,7544165.480309734,40.2,126014024.0,3.42,102626859.0,2007-07-21
50,SonyMusicIndiaVEVO,46600000,27286058807,Music,3444,United States,US,78600.0,1300000.0,943500.0,15100000.0,88.2,328239523.0,14.7,270663028.0,2009-09-02
51,A4,46300000,22936630813,Gaming,4300,Cuba,CU,0.02,0.38,200995.47880434783,3224177.3629347826,41.4,11333483.0,1.64,8739135.0,2006-03-11
53,Fernanfloo,46100000,10323391593,Gaming,543,El Salvador,SV,8500.0,135400.0,101500.0,1600000.0,29.4,6453553.0,4.11,4694702.0,2011-05-02
